Running from this directory: /cluster/home/mdaha/final_fine-tuning-for-logs
Name of job: lora_ft_1gpu_3epo_final
ID of job: 21080493
The job was run on these nodes: idun-01-03
🚀 Using device: cuda
✅ Log file creation test passed.
📂 Loading Dataset...
💾 Loading model with Accelerate...
🔧 Configuring LoRA...
Weight Decay: 0.01
Batch Size: 1
Total training samples: 6961
{'loss': 234.9228, 'grad_norm': 14.045204162597656, 'learning_rate': 1.9846390168970814e-05, 'epoch': 0.02}
{'loss': 205.2635, 'grad_norm': 19.912233352661133, 'learning_rate': 5.7142857142857145e-06, 'epoch': 2.13}
{'loss': 204.1479, 'grad_norm': 20.754016876220703, 'learning_rate': 5.560675883256529e-06, 'epoch': 2.16}
{'loss': 203.6603, 'grad_norm': 19.32797622680664, 'learning_rate': 5.407066052227343e-06, 'epoch': 2.18}
{'loss': 203.1611, 'grad_norm': 18.875585556030273, 'learning_rate': 5.253456221198157e-06, 'epoch': 2.2}
{'loss': 202.2141, 'grad_norm': 19.219730377197266, 'learning_rate': 5.099846390168971e-06, 'epoch': 2.23}
{'loss': 203.7534, 'grad_norm': 22.60515594482422, 'learning_rate': 4.946236559139785e-06, 'epoch': 2.25}
{'loss': 203.3382, 'grad_norm': 22.452695846557617, 'learning_rate': 4.7926267281106e-06, 'epoch': 2.27}
{'loss': 205.9637, 'grad_norm': 20.294937133789062, 'learning_rate': 4.639016897081414e-06, 'epoch': 2.29}
{'loss': 204.2725, 'grad_norm': 21.362163543701172, 'learning_rate': 4.4854070660522275e-06, 'epoch': 2.32}
{'loss': 200.4564, 'grad_norm': 20.554311752319336, 'learning_rate': 4.331797235023042e-06, 'epoch': 2.34}
{'loss': 203.614, 'grad_norm': 21.41278648376465, 'learning_rate': 4.178187403993856e-06, 'epoch': 2.36}
{'loss': 203.3064, 'grad_norm': 17.58690643310547, 'learning_rate': 4.0245775729646705e-06, 'epoch': 2.39}
{'loss': 203.6413, 'grad_norm': 24.462677001953125, 'learning_rate': 3.870967741935484e-06, 'epoch': 2.41}
{'loss': 203.4115, 'grad_norm': 21.34147071838379, 'learning_rate': 3.7173579109062983e-06, 'epoch': 2.43}
{'loss': 204.0729, 'grad_norm': 20.694480895996094, 'learning_rate': 3.5637480798771122e-06, 'epoch': 2.46}
{'loss': 204.8439, 'grad_norm': 23.793228149414062, 'learning_rate': 3.4101382488479266e-06, 'epoch': 2.48}
{'loss': 203.5615, 'grad_norm': 18.193445205688477, 'learning_rate': 3.2565284178187405e-06, 'epoch': 2.5}
{'loss': 203.6942, 'grad_norm': 24.02614402770996, 'learning_rate': 3.1029185867895553e-06, 'epoch': 2.52}
{'loss': 202.1022, 'grad_norm': 17.897939682006836, 'learning_rate': 2.9493087557603687e-06, 'epoch': 2.55}
{'loss': 203.0742, 'grad_norm': 28.104978561401367, 'learning_rate': 2.7956989247311827e-06, 'epoch': 2.57}
{'loss': 205.8851, 'grad_norm': 23.150453567504883, 'learning_rate': 2.642089093701997e-06, 'epoch': 2.59}
{'loss': 203.9058, 'grad_norm': 23.15672492980957, 'learning_rate': 2.4884792626728113e-06, 'epoch': 2.62}
{'loss': 203.4001, 'grad_norm': 21.977195739746094, 'learning_rate': 2.3348694316436257e-06, 'epoch': 2.64}
{'loss': 202.9982, 'grad_norm': 21.128446578979492, 'learning_rate': 2.1812596006144396e-06, 'epoch': 2.66}
{'loss': 204.0271, 'grad_norm': 24.268007278442383, 'learning_rate': 2.027649769585254e-06, 'epoch': 2.68}
{'loss': 202.8425, 'grad_norm': 25.80496597290039, 'learning_rate': 1.8740399385560678e-06, 'epoch': 2.71}
{'loss': 203.177, 'grad_norm': 21.367219924926758, 'learning_rate': 1.720430107526882e-06, 'epoch': 2.73}
{'loss': 201.8437, 'grad_norm': 19.856061935424805, 'learning_rate': 1.5668202764976959e-06, 'epoch': 2.75}
{'loss': 204.0383, 'grad_norm': 20.30842399597168, 'learning_rate': 1.41321044546851e-06, 'epoch': 2.78}
{'loss': 203.4799, 'grad_norm': 27.39141082763672, 'learning_rate': 1.259600614439324e-06, 'epoch': 2.8}
{'loss': 203.4343, 'grad_norm': 24.899240493774414, 'learning_rate': 1.1059907834101384e-06, 'epoch': 2.82}
{'loss': 205.9661, 'grad_norm': 21.598886489868164, 'learning_rate': 9.523809523809525e-07, 'epoch': 2.85}
{'loss': 203.3912, 'grad_norm': 19.44171714782715, 'learning_rate': 7.987711213517666e-07, 'epoch': 2.87}
{'loss': 204.5317, 'grad_norm': 21.054702758789062, 'learning_rate': 6.451612903225807e-07, 'epoch': 2.89}
{'loss': 204.6524, 'grad_norm': 20.595294952392578, 'learning_rate': 4.915514592933948e-07, 'epoch': 2.91}
{'loss': 202.482, 'grad_norm': 22.153291702270508, 'learning_rate': 3.3794162826420895e-07, 'epoch': 2.94}
{'loss': 203.8161, 'grad_norm': 28.083932876586914, 'learning_rate': 1.8433179723502305e-07, 'epoch': 2.96}
{'loss': 203.5573, 'grad_norm': 26.82177734375, 'learning_rate': 3.0721966205837177e-08, 'epoch': 2.98}
{'train_runtime': 6584.9737, 'train_samples_per_second': 3.171, 'train_steps_per_second': 0.099, 'train_loss': 207.84757177584365, 'epoch': 2.99}
