Running from this directory: /cluster/home/mdaha/final_fine-tuning-for-logs
Name of job: ia3_ft_1gpu_3epo_final
ID of job: 21080491
The job was run on these nodes: idun-09-14
🚀 Using device: cuda
✅ Log file creation test passed.
📂 Loading Dataset...
💾 Loading model with Accelerate...
🔧 Configuring IA3...
🔧 Applying IA3 to the model...
Total training samples: 6961
{'loss': 235.0311, 'grad_norm': 12.856817245483398, 'learning_rate': 1.9846390168970814e-05, 'epoch': 0.02}
{'loss': 224.2262, 'grad_norm': 6.645804405212402, 'learning_rate': 6.021505376344087e-06, 'epoch': 2.09}
{'loss': 224.7432, 'grad_norm': 6.049034118652344, 'learning_rate': 5.867895545314901e-06, 'epoch': 2.11}
{'loss': 224.2053, 'grad_norm': 6.019974708557129, 'learning_rate': 5.7142857142857145e-06, 'epoch': 2.13}
{'loss': 223.093, 'grad_norm': 6.436036586761475, 'learning_rate': 5.560675883256529e-06, 'epoch': 2.16}
{'loss': 222.9219, 'grad_norm': 5.88592529296875, 'learning_rate': 5.407066052227343e-06, 'epoch': 2.18}
{'loss': 222.7445, 'grad_norm': 6.110668659210205, 'learning_rate': 5.253456221198157e-06, 'epoch': 2.2}
{'loss': 222.4201, 'grad_norm': 6.068699836730957, 'learning_rate': 5.099846390168971e-06, 'epoch': 2.23}
{'loss': 222.634, 'grad_norm': 6.628122329711914, 'learning_rate': 4.946236559139785e-06, 'epoch': 2.25}
{'loss': 222.4928, 'grad_norm': 6.12674617767334, 'learning_rate': 4.7926267281106e-06, 'epoch': 2.27}
{'loss': 224.4155, 'grad_norm': 5.92461633682251, 'learning_rate': 4.639016897081414e-06, 'epoch': 2.29}
{'loss': 223.1884, 'grad_norm': 6.147084712982178, 'learning_rate': 4.4854070660522275e-06, 'epoch': 2.32}
{'loss': 219.8843, 'grad_norm': 5.929433822631836, 'learning_rate': 4.331797235023042e-06, 'epoch': 2.34}
{'loss': 222.3958, 'grad_norm': 6.070144176483154, 'learning_rate': 4.178187403993856e-06, 'epoch': 2.36}
{'loss': 222.5211, 'grad_norm': 5.9460344314575195, 'learning_rate': 4.0245775729646705e-06, 'epoch': 2.39}
{'loss': 222.6292, 'grad_norm': 6.243924617767334, 'learning_rate': 3.870967741935484e-06, 'epoch': 2.41}
{'loss': 221.86, 'grad_norm': 6.120495319366455, 'learning_rate': 3.7173579109062983e-06, 'epoch': 2.43}
{'loss': 222.7869, 'grad_norm': 6.19990348815918, 'learning_rate': 3.5637480798771122e-06, 'epoch': 2.46}
{'loss': 223.6021, 'grad_norm': 6.158965110778809, 'learning_rate': 3.4101382488479266e-06, 'epoch': 2.48}
{'loss': 221.5582, 'grad_norm': 5.851837635040283, 'learning_rate': 3.2565284178187405e-06, 'epoch': 2.5}
{'loss': 222.7959, 'grad_norm': 6.183908462524414, 'learning_rate': 3.1029185867895553e-06, 'epoch': 2.52}
{'loss': 221.526, 'grad_norm': 6.052702903747559, 'learning_rate': 2.9493087557603687e-06, 'epoch': 2.55}
{'loss': 222.0731, 'grad_norm': 6.349045753479004, 'learning_rate': 2.7956989247311827e-06, 'epoch': 2.57}
{'loss': 224.6561, 'grad_norm': 6.224864482879639, 'learning_rate': 2.642089093701997e-06, 'epoch': 2.59}
{'loss': 222.8571, 'grad_norm': 6.192100524902344, 'learning_rate': 2.4884792626728113e-06, 'epoch': 2.62}
{'loss': 221.8584, 'grad_norm': 5.702571868896484, 'learning_rate': 2.3348694316436257e-06, 'epoch': 2.64}
{'loss': 222.2111, 'grad_norm': 6.092409133911133, 'learning_rate': 2.1812596006144396e-06, 'epoch': 2.66}
{'loss': 221.9283, 'grad_norm': 5.926257133483887, 'learning_rate': 2.027649769585254e-06, 'epoch': 2.68}
{'loss': 221.3134, 'grad_norm': 5.450321674346924, 'learning_rate': 1.8740399385560678e-06, 'epoch': 2.71}
{'loss': 223.3686, 'grad_norm': 6.045626640319824, 'learning_rate': 1.720430107526882e-06, 'epoch': 2.73}
{'loss': 220.7642, 'grad_norm': 5.894477367401123, 'learning_rate': 1.5668202764976959e-06, 'epoch': 2.75}
{'loss': 223.603, 'grad_norm': 6.090744495391846, 'learning_rate': 1.41321044546851e-06, 'epoch': 2.78}
{'loss': 222.1166, 'grad_norm': 6.031491756439209, 'learning_rate': 1.259600614439324e-06, 'epoch': 2.8}
{'loss': 222.626, 'grad_norm': 6.215398788452148, 'learning_rate': 1.1059907834101384e-06, 'epoch': 2.82}
{'loss': 224.3043, 'grad_norm': 5.909459590911865, 'learning_rate': 9.523809523809525e-07, 'epoch': 2.85}
{'loss': 222.4382, 'grad_norm': 5.769631385803223, 'learning_rate': 7.987711213517666e-07, 'epoch': 2.87}
{'loss': 223.5721, 'grad_norm': 5.767300605773926, 'learning_rate': 6.451612903225807e-07, 'epoch': 2.89}
{'loss': 222.6302, 'grad_norm': 6.0482096672058105, 'learning_rate': 4.915514592933948e-07, 'epoch': 2.91}
{'loss': 221.5119, 'grad_norm': 6.041426181793213, 'learning_rate': 3.3794162826420895e-07, 'epoch': 2.94}
{'loss': 223.035, 'grad_norm': 5.840636253356934, 'learning_rate': 1.8433179723502305e-07, 'epoch': 2.96}
{'loss': 221.7267, 'grad_norm': 6.1744585037231445, 'learning_rate': 3.0721966205837177e-08, 'epoch': 2.98}
{'train_runtime': 11419.4799, 'train_samples_per_second': 1.829, 'train_steps_per_second': 0.057, 'train_loss': 225.72218252436906, 'epoch': 2.99}
